ID,Breed,Description,Score
51685294,Pit Bull Terrier,"Bobbi may be older, but she is still very fun pittie! She has lived well with dogs in the past....","Sentiment(polarity=0.13472222222222222, subjectivity=0.2811111111111111)"
51685301,Australian Kelpie,"Kwali is an active lady, who is still learning how best to interact with the world. She&amp;#39;s very sweet when...","Sentiment(polarity=0.4405555555555556, subjectivity=0.5816666666666667)"
51685303,Rottweiler,"Gunner is such a handsome, sweet boy, just look at the love in his eyes! He loves to be petted...","Sentiment(polarity=0.36875, subjectivity=0.6875)"
51685307,Pit Bull Terrier,Brownie is a fun loving pit bull who will need a home that allows his breed. He can also be...,"Sentiment(polarity=0.44999999999999996, subjectivity=0.575)"
51685310,Great Dane,,
51685315,German Shepherd Dog,Hugo is a handsome guy who needs a lot of attention. He would be happiest with someone who is home...,"Sentiment(polarity=0.5, subjectivity=1.0)"
51685284,Border Collie,PUPPY LOVE !!!!! She is a lively and energetic puppy that will bring happiness and joy to your family. She...,"Sentiment(polarity=0.6272727272727272, subjectivity=0.4)"
51685327,Australian Cattle Dog / Blue Heeler,He is a shy and reserved guy who is looking for warm and loving home. This pupster has a lot...,"Sentiment(polarity=0.2333333333333333, subjectivity=0.6833333333333332)"
51685175,Pit Bull Terrier,She is very friendly but can be shy at first. Once she warms up to you . . . she...,"Sentiment(polarity=0.07916666666666668, subjectivity=0.4944444444444444)"
51685132,Pit Bull Terrier,"Spot is a beautiful, gentle soul who loves being a cherished family member! He&amp;#39;s quiet, calm, house trained, walks well...","Sentiment(polarity=0.35000000000000003, subjectivity=0.7208333333333333)"
51685152,Staffordshire Bull Terrier,Gaia is described as a wonderfully sweet girl who walks great on leash. She loves to play and explore the...,"Sentiment(polarity=0.575, subjectivity=0.7)"
51685161,Australian Cattle Dog / Blue Heeler,,
51685164,Siberian Husky,"Pan is your typical goofy and independent husky-type breed, that would rather adventure than cuddle. He bonds with his person,...","Sentiment(polarity=0.11111111111111112, subjectivity=0.5416666666666666)"
51685169,Terrier,"DAPPER GENTLEMAN!! Favorite Things: Ear scratches and rubs, walks/runs and hanging with his humans. Special Features: Check out my cool...","Sentiment(polarity=0.40238095238095245, subjectivity=0.7404761904761905)"
51685183,Australian Cattle Dog / Blue Heeler,"Sadie is a sweet lady, friendly with people of all ages and anxious to please. She loves long walks and...","Sentiment(polarity=0.10625, subjectivity=0.6375)"
51685185,German Shepherd Dog,"Godiva is a high energy and smart girl, who&amp;#39;s eager to learn. She&amp;#39;s still working on house training. She would...","Sentiment(polarity=0.18714285714285714, subjectivity=0.5914285714285714)"
51685187,Pit Bull Terrier,He is a sweet and calm guy who has a lot of love and affection to share with the family....,"Sentiment(polarity=0.3833333333333333, subjectivity=0.6666666666666666)"
51685188,Pit Bull Terrier,Kelso is a super affectionate guy with lots of love to give. He has lots of energy and would make...,"Sentiment(polarity=0.41666666666666663, subjectivity=0.6333333333333333)"
51685190,Labrador Retriever,Elvis is an active pup who loves to play and run! He can be nervous around strangers and needs extra...,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.35)"
51685194,Pit Bull Terrier,Want an enthusiastic exercise partner for all hours of the day? Want a companion who just wants to play? Want...,"Sentiment(polarity=0.4, subjectivity=0.5)"
51685195,Cane Corso,"Paws is a sweet and active pup, who needs some work with his continued socialization and manners. He can get...","Sentiment(polarity=0.10833333333333332, subjectivity=0.625)"
51685196,Staffordshire Bull Terrier,"Chevy is a sweet, active guy. Her DFL friends describe him like this: very lovable, happy and wiggly, strong, sweet...","Sentiment(polarity=0.4083333333333334, subjectivity=0.7138888888888889)"
51685200,German Shepherd Dog,"Tuti is a lover, who can be demanding for attention sometimes. She can be very vocal, so we recommend that...","Sentiment(polarity=0.2, subjectivity=0.3)"
51685201,English Pointer,"Luna is a very sweet girl, who has some fear and submissive behavior. She shows some reactivity on leash towards...","Sentiment(polarity=0.45499999999999996, subjectivity=0.8450000000000001)"
51685202,German Shepherd Dog,"Meet Ava, a 4-year-old spayed female German Shepherd. Ava is a beautiful girl who has some very specific behavioral needs...","Sentiment(polarity=0.2125, subjectivity=0.3322916666666667)"
51685203,Pit Bull Terrier,Beauty has boundless energy and is very affectionate and playful. She&amp;#39;s had some basic training but can be excited and...,"Sentiment(polarity=0.09375, subjectivity=0.46875)"
51685206,Great Pyrenees,Casper is a sweet and gentle giant. He was brought to us because he needed more space than his previous...,"Sentiment(polarity=0.1766666666666667, subjectivity=0.6233333333333333)"
51685208,Labrador Retriever,"Hobbs is sweeter than honey! A happy, very friendly, gentle guy who loves people and treats. He also loves pets,...","Sentiment(polarity=0.49583333333333335, subjectivity=0.8166666666666668)"
51685210,Staffordshire Bull Terrier,"Baby can be shy at first, but will quickly warm up (maybe if a treat is involved . . ....","Sentiment(polarity=0.11666666666666665, subjectivity=0.4777777777777777)"
51685213,Pit Bull Terrier,"Im Syfer! I am a big 5 yr old, gentle boy with lots of love to give! I love car...","Sentiment(polarity=0.28500000000000003, subjectivity=0.4600000000000001)"
51685215,Labrador Retriever,"Hooch is the greatest of the great! He&amp;#39;s very sweet, very playful, friendly and affectionate. He absolutely loves to play...","Sentiment(polarity=0.5383333333333334, subjectivity=0.7158333333333333)"
51685225,Staffordshire Bull Terrier,She is a high energy dog that would love an active home. She is very playful and loves to play...,"Sentiment(polarity=0.1816666666666667, subjectivity=0.5099999999999999)"
51685228,Doberman Pinscher,Mac is an energetic guy with a fun personality! He can be shy at first and needs extra time to...,"Sentiment(polarity=0.125, subjectivity=0.32666666666666666)"
51685234,Australian Cattle Dog / Blue Heeler,"Sky is a beautiful and sensitive girl who needs a gentle, reassuring owner willing to give her extra time and...","Sentiment(polarity=0.27999999999999997, subjectivity=0.7100000000000001)"
51685236,Pit Bull Terrier,Tyger is a handsome boy who would love an active owner to keep him busy! He can be jumpy and...,"Sentiment(polarity=0.24791666666666667, subjectivity=0.625)"
51685238,Boxer,"Nala is very sweet with humans but who doesn&amp;#39;t always get along with other animals. As a result, she needs...","Sentiment(polarity=0.16499999999999998, subjectivity=0.6100000000000001)"
51685242,German Shepherd Dog,"Opal is a beautiful young shepherd looking for an adopter experienced with her breed, and ready to help train her...","Sentiment(polarity=0.4875, subjectivity=0.7)"
51685243,Poodle,"Sophie is an affectionate lady, who is looking to relax in her golden years. She was brought to us after...","Sentiment(polarity=0.3, subjectivity=0.5)"
51685247,Border Collie,"Nitro is a beautiful border collie who would love an owner who is home with him lots of the time,...","Sentiment(polarity=0.675, subjectivity=0.8)"
51685249,Boxer,"Look at that smirk! Daisy is a sweet, quirky girl with a fun personality! She is very energetic and is...","Sentiment(polarity=0.34375, subjectivity=0.625)"
51685230,Catahoula Leopard Dog,He is your chill and relaxed companion. He is easy to leash and would love to walk around and check...,"Sentiment(polarity=0.4666666666666667, subjectivity=0.7166666666666667)"
51684836,Jindo,Zoey is a friendly girl waiting for her chance to have a family of her own.  She is good around...,"Sentiment(polarity=0.5583333333333332, subjectivity=0.7000000000000001)"
51683684,Cattle Dog,"Pop Rocks is a little girl, parvo surviver. Date of birth March 9th 2021. This baby is spayed, chipped, bordetella...","Sentiment(polarity=-0.1875, subjectivity=0.5)"
51683488,Pit Bull Terrier,"Hercules is a sweet, but high energy guy, and has been known to jump and mouth when too excited. He...","Sentiment(polarity=0.295, subjectivity=0.6466666666666666)"
51683554,Border Collie,Hi! I am Baba. I am a sweet boy with a great history with kids. I get excited when I...,"Sentiment(polarity=0.5083333333333333, subjectivity=0.7166666666666667)"
51683564,Plott Hound,Tessa is a sweet young girl full of life! She may not be a good fit for a home with...,"Sentiment(polarity=0.39749999999999996, subjectivity=0.52)"
51683511,Australian Cattle Dog / Blue Heeler,He has a lot of puppy energy and puppy love to share with you family. This guy is very friendly...,"Sentiment(polarity=0.49375, subjectivity=0.625)"
51683137,Labrador Retriever,"If you are interested in adopting, please visit our website and complete an adoption application at www.elpasocountycanine.org/adopt","Sentiment(polarity=0.175, subjectivity=0.45)"
51683066,Labrador Retriever,"*Due to concerns surrounding COVID-19, we have reformatted the way that we do adoptions in order to follow social distancing...","Sentiment(polarity=-0.04583333333333334, subjectivity=0.22083333333333333)"
51683065,Labrador Retriever,"MAMCO calls me Libby, but my foster calls me Mama. Ive had a lot happen in my life and have...","Sentiment(polarity=0.0, subjectivity=0.0)"
51683024,Pug,,
51683021,Pug,,
51683022,Poodle,,
51683023,Labrador Retriever,"Please meet Jethro! Hailing from Houston, Texas, this big boy weighs in at an approximate 75lbs; he is neutered, up-to-date...","Sentiment(polarity=-0.2, subjectivity=0.35)"
51683004,Norfolk Terrier,"0521041

I need a single family home with a fenced in yard!

I&amp;#39;m heartworm positive. Heartworm is NOT contagious. The...","Sentiment(polarity=0.0689935064935065, subjectivity=0.37987012987012986)"
51683003,Chihuahua,"0421017

This loveable little boy is Lock! He is an 8 week old Chihuahua mix. Lock is a tiny little...","Sentiment(polarity=-0.08046875, subjectivity=0.425)"
51683000,Beagle,"0421056

I need a single family home with a fenced in yard since I require lots of physical and mental...","Sentiment(polarity=-0.05714285714285714, subjectivity=0.18571428571428572)"
51682996,Beagle,"0421060

I need a single family home with a fenced in yard since I require lots of physical and mental...","Sentiment(polarity=-0.05714285714285714, subjectivity=0.18571428571428572)"
51682997,Chihuahua,"0421013

I&amp;#39;m heartworm positive. Heartworm is NOT contagious. The rescue covers the cost of treatment at the rescue&amp;#39;s vet. 

This...","Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)"
51682992,Beagle,"0421055

I need a single family home with a fenced in yard since I require lots of physical and mental...","Sentiment(polarity=-0.05714285714285714, subjectivity=0.18571428571428572)"
51683001,Beagle,"0421062

I need a single family home with a fenced in yard since I require lots of physical and mental...","Sentiment(polarity=-0.05714285714285714, subjectivity=0.18571428571428572)"
51688709,Schnauzer,,
51688709,Schnauzer,,,
51688632,Jack Russell Terrier,There&#039;s nothing quite like puppy sweetness and silliness...and then they put their beautiful heads quietly on your shoulder breathing their...,0.425,0.6666666666666666
51688820,Labrador Retriever,"Zara . . . is a laid back and chill girl. She does love the attention with pets, chin scratches...",0.25,0.3
51688821,Border Collie,Palomita is a beautiful young border collie who needs an owner who will give her lots of physical and mental...,0.2125,0.43571428571428567
51688822,Chihuahua,,,
51688824,Chihuahua,,,
51688823,Catahoula Leopard Dog,Petey has become a popular guy here at the League because he&amp;#39;s so sweet and special. He&amp;#39;s affectionate and loving...,0.47678571428571426,0.7678571428571428
51688826,German Shepherd Dog,,,
51688817,Australian Shepherd,,,
51688804,Border Collie,"Click here to learn more about my Behavior Level Behavior Assessment; Level 4 This lovely little lady is Nala, she...",0.2708333333333333,0.5833333333333334
51688806,Havanese,Click here to learn more about my Behavior Level We elected to fast track this dog to adoptions. Therefore no...,0.35,0.55
51688807,Pit Bull Terrier,"Click here to learn more about my Behavior Level Behavior Assessment; Level 4 Looking for a cute, squishy faced lap...",0.5,0.75
51688808,German Shepherd Dog,"Click here to learn more about my Behavior Level Behavior Assessment; Level 5 If you are looking for an active,...",0.18333333333333335,0.55
51688705,German Shepherd Dog,"Meet Zee! *Very social with both dogs and humans, and would love a mellow dog playmate *Enjoys gentle walks and...",0.2477777777777778,0.4955555555555556
51688307,Chihuahua,Meet Paulie! This charming little fellow can&amp;#39;t wait to meet his new family. Such a sweetie this guy is likely...,0.12977272727272726,0.6909090909090909
51688129,West Highland White Terrier / Westie,"AMAZING LOYAL CUTIE PIE! Favorite Things: Treats, toys, walks, pets, outdoor playtime! Special Features: Easy to leash and walks well...",0.4864285714285714,0.8276190476190475
51688131,Boxer,,,
51687669,Husky,,,
51685543,Husky,Snoopy is the most handsome guy on the block! He has stunning blue eyes and the softest coat you&amp;#39;ve ever...,0.40625,0.65
51685542,Staffordshire Bull Terrier,Honey was pulled off the euthanasia list in a New Mexico shelter and brought to CO to start a new...,0.13636363636363635,0.45454545454545453
51685509,Dachshund,Maria is an easygoing former mom in our rescue. She is believed to be approximately two years old. Her breed...,-0.10000000000000002,0.26666666666666666
51685486,Labrador Retriever,"Bay Leaf - I am a loving fun girl that has so many great qualities! I am mostly potty trained,...",0.58,0.58
51685482,German Shepherd Dog,,,
51685484,Husky,,,
51685483,Dutch Shepherd,,,
51685485,Husky,,,
51685456,Retriever,"1020072

Hi, My name is Calvin.

I am a happy go lucky young man. I love to play with anyone...",0.43333333333333335,0.7083333333333334
51685432,Cattle Dog,"Fostered in Colorado Springs! Available for adoption starting around 6/9/21!

Foxie and her siblings were found dumped at a windmill...",0.2,0.25
51685309,Leonberger,He is a nice and playful guy. He is easy to leash up and walk to explore the neighborhood. He...,0.5166666666666666,0.9166666666666667
51685259,Pit Bull Terrier,"Bowser is a big, friendly guy. Sweetest boy in the world, says his former owner. Although he looks like a...",0.125,0.19999999999999998
51685260,German Shepherd Dog,Bailey is a young German Shepherd full of energy looking for an adopter who will give her lots of mental...,0.0875,0.28750000000000003
51685262,German Shepherd Dog,Mika&amp;#39;s new friends at the League describe her as a sweetheart. She can be a bit skittish when being leashed...,0.41818181818181815,0.6272727272727273
51685266,Pit Bull Terrier,Willshire still has lots of puppy energy and needs an adopter who will give him lots of exercise and mental...,-0.1,0.2
51685268,Chihuahua,,,
51685269,Pit Bull Terrier,Danny is a cute pit bull who contracted heartworm disease in Oklahoma before coming to Denver. He will need an...,0.5,1.0
51685271,Labrador Retriever,Chaz is an intelligent guy who knows it! We don&amp;#39;t know if he&amp;#39;s ever really lived indoors but he&amp;#39;s been...,0.6,0.55
51685273,Siberian Husky,Oso is a gorgeous husky who would love lots of exercise and mental enrichment. He needs to be the only...,0.27499999999999997,0.675
51685274,Labrador Retriever,"Maggie is a gorgeous, gentle and very chill girl! She loves car rides, being outside and getting lots of attention...",0.2875,0.5125
51685281,Pit Bull Terrier,"This strong and active gentleman is ready to go home! Calma nd gentle on the leash, this big guy loves...",0.15,0.5466666666666666
51685294,Pit Bull Terrier,"Bobbi may be older, but she is still very fun pittie! She has lived well with dogs in the past....",0.13472222222222222,0.2811111111111111
51685301,Australian Kelpie,"Kwali is an active lady, who is still learning how best to interact with the world. She&amp;#39;s very sweet when...",0.4405555555555556,0.5816666666666667
51685303,Rottweiler,"Gunner is such a handsome, sweet boy, just look at the love in his eyes! He loves to be petted...",0.36875,0.6875
51685307,Pit Bull Terrier,Brownie is a fun loving pit bull who will need a home that allows his breed. He can also be...,0.44999999999999996,0.575
51685310,Great Dane,,,
51685315,German Shepherd Dog,Hugo is a handsome guy who needs a lot of attention. He would be happiest with someone who is home...,0.5,1.0
51685284,Border Collie,PUPPY LOVE !!!!! She is a lively and energetic puppy that will bring happiness and joy to your family. She...,0.6272727272727272,0.4
51685327,Australian Cattle Dog / Blue Heeler,He is a shy and reserved guy who is looking for warm and loving home. This pupster has a lot...,0.2333333333333333,0.6833333333333332
51685175,Pit Bull Terrier,She is very friendly but can be shy at first. Once she warms up to you . . . she...,0.07916666666666668,0.4944444444444444
51685132,Pit Bull Terrier,"Spot is a beautiful, gentle soul who loves being a cherished family member! He&amp;#39;s quiet, calm, house trained, walks well...",0.35000000000000003,0.7208333333333333
51685152,Staffordshire Bull Terrier,Gaia is described as a wonderfully sweet girl who walks great on leash. She loves to play and explore the...,0.575,0.7
51685161,Australian Cattle Dog / Blue Heeler,,,
51685164,Siberian Husky,"Pan is your typical goofy and independent husky-type breed, that would rather adventure than cuddle. He bonds with his person,...",0.11111111111111112,0.5416666666666666
51685169,Terrier,"DAPPER GENTLEMAN!! Favorite Things: Ear scratches and rubs, walks/runs and hanging with his humans. Special Features: Check out my cool...",0.40238095238095245,0.7404761904761905
51685183,Australian Cattle Dog / Blue Heeler,"Sadie is a sweet lady, friendly with people of all ages and anxious to please. She loves long walks and...",0.10625,0.6375
51685185,German Shepherd Dog,"Godiva is a high energy and smart girl, who&amp;#39;s eager to learn. She&amp;#39;s still working on house training. She would...",0.18714285714285714,0.5914285714285714
51685187,Pit Bull Terrier,He is a sweet and calm guy who has a lot of love and affection to share with the family....,0.3833333333333333,0.6666666666666666
51685188,Pit Bull Terrier,Kelso is a super affectionate guy with lots of love to give. He has lots of energy and would make...,0.41666666666666663,0.6333333333333333
51685190,Labrador Retriever,Elvis is an active pup who loves to play and run! He can be nervous around strangers and needs extra...,-0.08333333333333333,0.35
51685194,Pit Bull Terrier,Want an enthusiastic exercise partner for all hours of the day? Want a companion who just wants to play? Want...,0.4,0.5
51685195,Cane Corso,"Paws is a sweet and active pup, who needs some work with his continued socialization and manners. He can get...",0.10833333333333332,0.625
51685196,Staffordshire Bull Terrier,"Chevy is a sweet, active guy. Her DFL friends describe him like this: very lovable, happy and wiggly, strong, sweet...",0.4083333333333334,0.7138888888888889
51685200,German Shepherd Dog,"Tuti is a lover, who can be demanding for attention sometimes. She can be very vocal, so we recommend that...",0.2,0.3
51685201,English Pointer,"Luna is a very sweet girl, who has some fear and submissive behavior. She shows some reactivity on leash towards...",0.45499999999999996,0.8450000000000001
51685202,German Shepherd Dog,"Meet Ava, a 4-year-old spayed female German Shepherd. Ava is a beautiful girl who has some very specific behavioral needs...",0.2125,0.3322916666666667
51685203,Pit Bull Terrier,Beauty has boundless energy and is very affectionate and playful. She&amp;#39;s had some basic training but can be excited and...,0.09375,0.46875
51685206,Great Pyrenees,Casper is a sweet and gentle giant. He was brought to us because he needed more space than his previous...,0.1766666666666667,0.6233333333333333
51685208,Labrador Retriever,"Hobbs is sweeter than honey! A happy, very friendly, gentle guy who loves people and treats. He also loves pets,...",0.49583333333333335,0.8166666666666668
51685210,Staffordshire Bull Terrier,"Baby can be shy at first, but will quickly warm up (maybe if a treat is involved . . ....",0.11666666666666665,0.4777777777777777
51685213,Pit Bull Terrier,"Im Syfer! I am a big 5 yr old, gentle boy with lots of love to give! I love car...",0.28500000000000003,0.4600000000000001
51685215,Labrador Retriever,"Hooch is the greatest of the great! He&amp;#39;s very sweet, very playful, friendly and affectionate. He absolutely loves to play...",0.5383333333333334,0.7158333333333333
51685225,Staffordshire Bull Terrier,She is a high energy dog that would love an active home. She is very playful and loves to play...,0.1816666666666667,0.5099999999999999
51685228,Doberman Pinscher,Mac is an energetic guy with a fun personality! He can be shy at first and needs extra time to...,0.125,0.32666666666666666
51685234,Australian Cattle Dog / Blue Heeler,"Sky is a beautiful and sensitive girl who needs a gentle, reassuring owner willing to give her extra time and...",0.27999999999999997,0.7100000000000001
51685236,Pit Bull Terrier,Tyger is a handsome boy who would love an active owner to keep him busy! He can be jumpy and...,0.24791666666666667,0.625
51685238,Boxer,"Nala is very sweet with humans but who doesn&amp;#39;t always get along with other animals. As a result, she needs...",0.16499999999999998,0.6100000000000001
51685242,German Shepherd Dog,"Opal is a beautiful young shepherd looking for an adopter experienced with her breed, and ready to help train her...",0.4875,0.7
51685243,Poodle,"Sophie is an affectionate lady, who is looking to relax in her golden years. She was brought to us after...",0.3,0.5
51685247,Border Collie,"Nitro is a beautiful border collie who would love an owner who is home with him lots of the time,...",0.675,0.8
51685249,Boxer,"Look at that smirk! Daisy is a sweet, quirky girl with a fun personality! She is very energetic and is...",0.34375,0.625
51685230,Catahoula Leopard Dog,He is your chill and relaxed companion. He is easy to leash and would love to walk around and check...,0.4666666666666667,0.7166666666666667
51684836,Jindo,Zoey is a friendly girl waiting for her chance to have a family of her own.  She is good around...,0.5583333333333332,0.7000000000000001
51683684,Cattle Dog,"Pop Rocks is a little girl, parvo surviver. Date of birth March 9th 2021. This baby is spayed, chipped, bordetella...",-0.1875,0.5
51683488,Pit Bull Terrier,"Hercules is a sweet, but high energy guy, and has been known to jump and mouth when too excited. He...",0.295,0.6466666666666666
51683554,Border Collie,Hi! I am Baba. I am a sweet boy with a great history with kids. I get excited when I...,0.5083333333333333,0.7166666666666667
51683564,Plott Hound,Tessa is a sweet young girl full of life! She may not be a good fit for a home with...,0.39749999999999996,0.52
51683511,Australian Cattle Dog / Blue Heeler,He has a lot of puppy energy and puppy love to share with you family. This guy is very friendly...,0.49375,0.625
51683137,Labrador Retriever,"If you are interested in adopting, please visit our website and complete an adoption application at www.elpasocountycanine.org/adopt",0.175,0.45
51683066,Labrador Retriever,"*Due to concerns surrounding COVID-19, we have reformatted the way that we do adoptions in order to follow social distancing...",-0.04583333333333334,0.22083333333333333
51683065,Labrador Retriever,"MAMCO calls me Libby, but my foster calls me Mama. Ive had a lot happen in my life and have...",0.0,0.0
51683024,Pug,,,
51683021,Pug,,,
51683022,Poodle,,,
51683023,Labrador Retriever,"Please meet Jethro! Hailing from Houston, Texas, this big boy weighs in at an approximate 75lbs; he is neutered, up-to-date...",-0.2,0.35
51683004,Norfolk Terrier,"0521041

I need a single family home with a fenced in yard!

I&amp;#39;m heartworm positive. Heartworm is NOT contagious. The...",0.0689935064935065,0.37987012987012986
51683003,Chihuahua,"0421017

This loveable little boy is Lock! He is an 8 week old Chihuahua mix. Lock is a tiny little...",-0.08046875,0.425
51683000,Beagle,"0421056

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51682996,Beagle,"0421060

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51682997,Chihuahua,"0421013

I&amp;#39;m heartworm positive. Heartworm is NOT contagious. The rescue covers the cost of treatment at the rescue&amp;#39;s vet. 

This...",0.22727272727272727,0.5454545454545454
51682992,Beagle,"0421055

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51683001,Beagle,"0421062

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
