ID,Breed,Description,Polarity,Subjectivity
51727042,Siberian Husky,"Fantastic, that is what everyone says about Kenobi when they spend time with him. Kenobi is fantastic. Kenobi is a...",0.4,0.9
51725668,Labrador Retriever,"***Currently fostered in Colorado Springs***

Hi, I&amp;#39;m Max. No, not THE Max from The Grinch Who Stole Christmas, but a...",0.0,0.4
51725657,Australian Cattle Dog / Blue Heeler,Hi! I&amp;#39;m STIX! Lover at heart I am an active dog who would do best in a home with an...,0.43333333333333335,0.44999999999999996
51725656,Australian Cattle Dog / Blue Heeler,Hi! I&amp;#39;m STIX! Lover at heart I am an active dog who would do best in a home with an...,0.43333333333333335,0.44999999999999996
51725527,Chihuahua,"Delilah came into rescue from a shelter in El Paso, TX. Her history is unknown. She was fearful but friendly....",-0.20833333333333334,0.7000000000000001
51725307,Cattle Dog,"Little London is a total heartbreaker! She is the tiniest of her siblings, but is full of love and spunk!...",0.196875,0.6
51725298,Cattle Dog,Florence is the sweetest girl ever and she is searching for a family! She was saved from a reservation in...,0.0,0.0
51725043,Husky,"Meet Radar! This happy-go-lucky rottweiler/husky pup has got such a fun personality, and mismatched eyes to match it! He is...",0.1875,0.35
51725032,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724958,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724890,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724335,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724310,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724295,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51724277,Labrador Retriever,Please go to our website at www.milehighlabmission.com to find out more  about this pet and to submit an adoption application....,0.5,0.5
51723496,Great Pyrenees,You can fill out an adoption application online on our official website.Winter was owner surrendered to Shelter by the same...,0.0,0.125
51723462,German Wirehaired Pointer,Don&amp;#39;t let her resting b***h face fool you...Lemon is the biggest sweetheart with SO much love to give! Lemon is...,0.625,0.6
51723461,Great Dane,"Evita (We call her Eevie!!) is the biggest sweetheart in the world! She loves to cuddle on our couch, watch...",0.0,0.0
51723434,Chihuahua,"Silvia is approximately five years old, 12 pound Chihuahua mix. She came into the rescue with her four puppies from...",-0.15000000000000002,0.4
51723433,Schnauzer,Raptor is a 4-6 month old puppy who was rescued from a shelter in Texas. He is a very curious...,-0.015,0.6
51723357,Beagle,"*Due to concerns surrounding COVID-19, we have reformatted the way that we do adoptions in order to follow social distancing...",-0.04583333333333334,0.22083333333333333
51723343,Chihuahua,"Adoption fee includes the following:


	Spay/Neuter
	Rabies Vaccination
	Distemper / Parvo Vaccines (includes series of 3 for puppies)
	Bordetella
	Microchip...",0.0,0.1
51723344,Catahoula Leopard Dog,"Just look at that enormous SMILE, those gorgeous EYES, and that beautiful COAT!

Baylor is the HAPPIEST of souls, looking...",0.5,0.725
51723335,German Shepherd Dog,"0521070

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723336,German Shepherd Dog,"0521082

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723330,Great Dane,"0521071

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723326,Labrador Retriever,"0521029

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723334,Labrador Retriever,"0521024

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723337,Rottweiler,"0521083

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723322,Husky,"0521069

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723328,Labrador Retriever,"0521032

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723324,English Pointer,"0521076

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723323,Labrador Retriever,"0521074

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723325,Labrador Retriever,"0521035

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723327,English Pointer,"0521077

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723332,Husky,"0521068

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723333,German Shepherd Dog,"0521067

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723329,Labrador Retriever,"0521075

I need a single family home with a fenced in yard since I require lots of physical and mental...",-0.05714285714285714,0.18571428571428572
51723259,Chihuahua,"***Wilbur is bonded to Penny, they must be adopted together.***

The adoption fee is $53 and includes spay/neuter, first vaccinations,...",0.25,0.3333333333333333
51723260,Shepherd,"She is friendly and good with other dogs.
The adoption fee is $210 and includes spay/neuter, first vaccinations, microchip with...",0.3,0.45208333333333334
