EIN,Organization Name,Organization Incorporation Date,Location State,Location County,Location Name,Location Type,Location Open Date,Location Close Date,Location City,Location Zip Code,Record Year,Record Month,Stray At Large Canine Adult,Stray At Large Canine Up to 5 Months,Stray At Large Canine Age Unknown,Stray At Large Feline Adult,Stray At Large Feline Up to 5 Months,Stray At Large Feline Age Unknown,Relinquished By Owner Canine Adult,Relinquished By Owner Canine Up to 5 Months,Relinquished By Owner Canine Age Unknown,Relinquished By Owner Feline Adult,Relinquished By Owner Feline Up to 5 Months,Relinquished By Owner Feline Age Unknown,Intake Owner-Intended Euthanasia Canine Adult,Intake Owner-Intended Euthanasia Canine Up to 5 Months,Intake Owner-Intended Euthanasia Canine Age Unknown,Intake Owner-Intended Euthanasia Feline Adult,Intake Owner-Intended Euthanasia Feline Up to 5 Months,Intake Owner-Intended Euthanasia Feline Age Unknown,Transferred In From Agency Canine Adult,Transferred In From Agency Canine Up to 5 Months,Transferred In From Agency Canine Age Unknown,Transferred In From Agency Feline Adult,Transferred In From Agency Feline Up to 5 Months,Transferred In From Agency Feline Age Unknown,Other Intakes Canine Adult,Other Intakes Canine Up to 5 Months,Other Intakes Canine Age Unknown,Other Intakes Feline Adult,Other Intakes Feline Up to 5 Months,Other Intakes Feline Age Unknown,Adoption Canine Adult,Adoption Canine Up to 5 Months,Adoption Canine Age Unknown,Adoption Feline Adult,Adoption Feline Up to 5 Months,Adoption Feline Age Unknown,Returned To Owner Canine Adult,Returned To Owner Canine Up to 5 Months,Returned To Owner Canine Age Unknown,Returned To Owner Feline Adult,Returned To Owner Feline Up to 5 Months,Returned To Owner Feline Age Unknown,Transfer To Another Agency Canine Adult,Transfer To Another Agency Canine Up to 5 Months,Transfer To Another Agency Canine Age Unknown,Transfer To Another Agency Feline Adult,Transfer To Another Agency Feline Up to 5 Months,Transfer To Another Agency Feline Age Unknown,Returned To Field Canine Adult,Returned To Field Canine Up to 5 Months,Returned To Field Canine Age Unknown,Returned To Field Feline Adult,Returned To Field Feline Up to 5 Months,Returned To Field Feline Age Unknown,Other Live Outcome Canine Adult,Other Live Outcome Canine Up to 5 Months,Other Live Outcome Canine Age Unknown,Other Live Outcome Feline Adult,Other Live Outcome Feline Up to 5 Months,Other Live Outcome Feline Age Unknown,Died In Care Canine Adult,Died In Care Canine Up to 5 Months,Died In Care Canine Age Unknown,Died In Care Feline Adult,Died In Care Feline Up to 5 Months,Died In Care Feline Age Unknown,Lost In Care Canine Adult,Lost In Care Canine Up to 5 Months,Lost In Care Canine Age Unknown,Lost In Care Feline Adult,Lost In Care Feline Up to 5 Months,Lost In Care Feline Age Unknown,Shelter Euthanasia Canine Adult,Shelter Euthanasia Canine Up to 5 Months,Shelter Euthanasia Canine Age Unknown,Shelter Euthanasia Feline Adult,Shelter Euthanasia Feline Up to 5 Months,Shelter Euthanasia Feline Age Unknown,Outcome Owner-Intended Euthanasia Canine Adult,Outcome Owner-Intended Euthanasia Canine Up to 5 Months,Outcome Owner-Intended Euthanasia Canine Age Unknown,Outcome Owner-Intended Euthanasia Feline Adult,Outcome Owner-Intended Euthanasia Feline Up to 5 Months,Outcome Owner-Intended Euthanasia Feline Age Unknown,Beginning Total Canine,Beginning Total Feline,Ending Total Canine,Ending Total Feline
27-0269094,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It",5/1/2009 12:00:00 AM,GA,Gwinnett County,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It","Rescue, Private",5/1/2009 12:00:00 AM,,DACULA,30019,2011,6,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,110
39-1030012,Neenah Animal Shelter,1/1/1962 12:00:00 AM,WI,Winnebago County,Neenah Animal Shelter,"Shelter, Private",1/1/1962 12:00:00 AM,,NEENAH,54956,2012,8,12,0,3,5,7,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,17,0,7,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,10,78
91-0828499,Blue Mountain Humane Society,7/1/1967 12:00:00 AM,WA,Walla Walla County,Blue Mountain Humane Society,"Shelter, Government Contract",7/1/1967 12:00:00 AM,,WALLA WALLA,99362,2011,5,0,0,82,0,0,137,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,40,0,0,34,0,0,36,0,0,3,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,44,0,0,1,0,0,0,66,77,72,143
37-1470493,Bond County Humane Society,8/1/2003 12:00:00 AM,IL,Bond County,Bond County Humane Society,"Shelter, Private",8/1/2003 12:00:00 AM,,GREENVILLE,62246,2011,2,0,9,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,51,14,46
45-3793776,Oceana County Animal Shelter,,MI,Oceana County,L.A.S.S.I.     c/o Oceana County Shelter,Government Animal Services,,,SHELBY,49455,2012,1,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0
59-0826963,Bishop Animal Shelter SPCA of Manatee County FL,6/1/1958 12:00:00 AM,FL,Manatee County,Bishop Animal Shelter SPCA of Manatee County FL,"Shelter, Private",6/1/1958 12:00:00 AM,,BRADENTON,34209,2012,4,0,0,15,0,0,14,0,0,52,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,16,0,0,13,0,0,7,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,62,136,66,152
27-1357894,"Miss Kitty Feline Sanctuary, Inc",,GA,Thomas County,"Miss Kitty Feline Sanctuary, Inc","Shelter, Private",,,THOMASVILLE,31792,2012,8,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,106
94-6000436,Stockton Animal Shelter,1/1/1850 12:00:00 AM,CA,San Joaquin County,Stockton Animal Shelter,Government Animal Services,1/1/1850 12:00:00 AM,,STOCKTON,95206,2012,2,20,7,389,0,0,205,29,6,59,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,9,92,3,1,34,1,0,1,0,0,0,6,3,101,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,19,1,231,8,0,147,0,0,0,0,0,0,185,109,174,89
16-0743092,Niagara County SPCA,3/1/1894 12:00:00 AM,NY,Niagara County,Niagara County SPCA,"Shelter, Government Contract",3/1/1894 12:00:00 AM,,NIAGARA FALLS,14304,2012,8,45,6,9,37,79,13,18,2,2,9,6,0,2,0,0,1,0,0,2,0,0,0,9,0,2,0,1,8,4,10,26,8,0,34,80,4,21,0,5,0,0,0,8,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,16,6,0,0,1,0,0,0,6,0,2,5,3,8,1,0,0,1,0,0,84,241,93,250
77-0540565,Valley Animal Center,6/1/1992 12:00:00 AM,CA,Fresno County,Valley Animal Center,"Shelter, Private",6/1/1992 12:00:00 AM,,FRESNO,93726,2012,4,0,0,0,1,0,0,11,5,0,4,4,0,0,0,0,0,0,0,11,5,0,5,7,0,0,0,0,0,0,0,32,15,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,85,302,70,306
59-0826963,Bishop Animal Shelter SPCA of Manatee County FL,6/1/1958 12:00:00 AM,FL,Manatee County,Bishop Animal Shelter SPCA of Manatee County FL,"Shelter, Private",6/1/1958 12:00:00 AM,,BRADENTON,34209,2011,6,0,0,26,0,0,32,0,0,40,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,0,13,0,0,8,0,0,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,53,132,57,139
82-3255528,TNR A Better Chance dba Kitten Division Adoption Center,1/1/2011 12:00:00 AM,MO,Pulaski County,TNR A Better Chance dba Kitten Division Adoption Center,"Shelter, Private",1/1/2011 12:00:00 AM,,SAINT ROBERT,65584,2012,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
39-1030012,Neenah Animal Shelter,1/1/1962 12:00:00 AM,WI,Winnebago County,Neenah Animal Shelter,"Shelter, Private",1/1/1962 12:00:00 AM,,NEENAH,54956,2012,3,4,0,3,11,5,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,1,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,10,45
94-6000436,Stockton Animal Shelter,1/1/1850 12:00:00 AM,CA,San Joaquin County,Stockton Animal Shelter,Government Animal Services,1/1/1850 12:00:00 AM,,STOCKTON,95206,2012,8,37,15,463,0,2,438,17,7,53,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,1,0,10,6,7,51,0,0,42,0,0,1,0,0,0,12,12,136,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,14,16,1,294,4,1,426,0,0,0,0,0,0,178,178,209,129
82-3255528,TNR A Better Chance dba Kitten Division Adoption Center,1/1/2011 12:00:00 AM,MO,Pulaski County,TNR A Better Chance dba Kitten Division Adoption Center,"Shelter, Private",1/1/2011 12:00:00 AM,,SAINT ROBERT,65584,2012,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,52
61-6000794,Breckinridge county animal shelter,5/1/2015 12:00:00 AM,KY,Breckinridge County,Breckinirdge county animal shelter,Government Animal Services,5/1/2015 12:00:00 AM,,HARDINSBURG,40143,2012,4,0,0,38,0,0,31,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,4,0,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,41,36,41,36
56-6000347,Wake County Animal Center,7/1/1966 12:00:00 AM,NC,Wake County,Wake County Animal Center,Government Animal Services,7/1/1966 12:00:00 AM,,RALEIGH,27610,2011,5,159,39,46,93,180,153,193,53,62,101,126,43,1,0,10,1,0,1,0,0,0,0,0,0,65,8,39,21,45,90,116,63,16,69,20,13,91,2,36,6,1,6,43,13,9,5,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,4,1,0,5,1,0,0,152,35,72,136,120,243,1,0,10,1,0,1,612,446,621,594
59-0530990,"Halifax Humane Society, Inc.",2/1/1937 12:00:00 AM,FL,Volusia County,"Halifax Humane Society, Inc.","Shelter, Government Contract",2/1/1937 12:00:00 AM,,DAYTONA BEACH,32124,2012,5,130,19,21,177,402,96,139,21,0,85,69,8,38,1,0,14,0,4,0,0,0,0,0,0,5,7,1,0,9,0,177,44,0,80,63,1,38,0,9,1,7,5,6,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,2,0,0,81,3,8,180,362,106,0,0,0,0,0,0,173,189,187,225
45-5293643,Wagging Dog Rescue,4/1/2012 12:00:00 AM,CA,San Diego County,Wagging Dog Rescue,"Rescue, Private",4/1/2012 12:00:00 AM,,CARLSBAD,92013,2011,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0
